Objective	ID	Name
Find potential digital evidence sources	DFT-1005	Conduct a search of a crime scene
Find potential digital evidence sources	DFT-1006	Digital sniffer dogs
Find potential digital evidence sources	DFT-1009	Locate cloud account identifiers
Find potential digital evidence sources	DFT-1008	Profiling network traffic
Find potential digital evidence sources	DFT-1007	Use a SyncTriage-based approach to detect existence of devices
Prioritize digital evidence sources	DFT-1001	Triage
Preserve digital evidence	DFT-1011	Store seized devices in evidence bags
Preserve digital evidence	DFT-1010	Place device in faraday environment
Preserve digital evidence	DFT-1012	Connect storage medium via hardware write blocker
Preserve digital evidence	DFT-1013	Use software write blockers to provide read only access to storage media
Preserve digital evidence	DFT-1110	Preserving reference data
Access device data for acquisition	DFT-1029	Access data from a desoldered eMMC via a chip reader
Access device data for acquisition	DFT-1171	Access file system via live operating system
Access device data for acquisition	DFT-1113	Access internal storage via bootable environment
Access device data for acquisition	DFT-1028	Chip-off
Access device data for acquisition	DFT-1166	Connect directly to storage media
Access device data for acquisition	DFT-1112	Physical disk identification and removal
Overcome protection mechanisms	DFT-1039	App downgrade
Overcome protection mechanisms	DFT-1034	Brute force attack
Overcome protection mechanisms	DFT-1035	Dictionary attack
Overcome protection mechanisms	DFT-1033	Extraction of credential from an accessible device
Overcome protection mechanisms	DFT-1031	Key recovery from memory
Overcome protection mechanisms	DFT-1041	Pin2Pwn
Overcome protection mechanisms	DFT-1038	Rainbow table-based password attack
Overcome protection mechanisms	DFT-1032	Side channel
Overcome protection mechanisms	DFT-1036	Smudge attack
Overcome protection mechanisms	DFT-1037	Obtain password from the device owner
Overcome protection mechanisms	DFT-1040	Use mobile device exploit
Overcome protection mechanisms	DFT-1158	Configure device to enable a service needed for data extraction
Acquire data	DFT-1163	Automated screenshot-based capture of a mobile device
Acquire data	DFT-1023	Cloud data collection to access data via a live web page using credentials
Acquire data	DFT-1024	Cloud data collection via submission of request to service provider
Acquire data	DFT-1104	Collect data using open source intelligence
Acquire data	DFT-1160	Collect data with 'cloud backup restore' approach
Acquire data	DFT-1030	Data read from unmanaged NAND
Acquire data	DFT-1002	Disk imaging
